[WARNING] MI(1507537:140183177680704,MainProcess):2022-08-09-20:37:46.495.130 [MINDCONVERTER] [DEPRECATED] AST conversion would be removed in following version.
[INFO] MI(1507537:140183177680704,MainProcess):2022-08-09-20:37:46.607.400 [MINDCONVERTER] Script file is /home/zixiao.wang/dis-code-2207-semi-mindspore/main-u2net-full-fast-1024.py
[INFO] MI(1507537:140183177680704,MainProcess):2022-08-09-20:37:46.607.473 [MINDCONVERTER] Start converting /hom./zixiao.wang/dis-cod.-2207-s.mi-mindspor./main-u2n.t-full-fast-1024
[INFO] MI(1507537:140183177680704,MainProcess):2022-08-09-20:37:46.630.775 [MINDCONVERTER] Convert report is saved in /home/zixiao.wang/dis-code-2207-semi-mindspore/output/report_of_main-u2net-full-fast-1024.txt
[WARNING] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.484.863 [MINDCONVERTER] [DEPRECATED] AST conversion would be removed in following version.
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.625.374 [MINDCONVERTER] Script file is /home/zixiao.wang/dis-code-2207-semi-mindspore/models/u2netfast.py
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.625.458 [MINDCONVERTER] Start converting /home/zixiao.wang/di.-code-2207-.emi-mind.pore/model./u2netfa.t
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.675.624 [MINDCONVERTER] Line 8: start converting function muti_loss_fusion()
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.678.487 [MINDCONVERTER] Line 45: start converting function _upsample_like()
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.679.218 [MINDCONVERTER] Line 26: start converting nn.Module REBNCONV
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.679.299 [MINDCONVERTER] Line 27: start converting function __init__()
[INFO] MI(1524407:139967776995136,MainProcess):2022-08-09-20:44:25.681.292 [MINDCONVERTER] Line 30 start converting API: nn.Conv2d
